,ts,side,price,quantity
3536,1619199614406713,buy,1652.6190322580646,0.11502
3537,1619199614421497,buy,1652.6190322580646,0.4649399999999999
3538,1619199614423845,buy,1652.6190322580646,0.55836
3539,1619199614425019,buy,1652.6190322580646,0.66096
3540,1619199614447674,buy,1652.6190322580646,11.18448
3541,1619199614447710,buy,1652.6190322580646,11.81574
3542,1619199614470788,buy,1652.6190322580646,0.09072
3543,1619199614475723,sell,1652.6187096774197,0.27
3544,1619199614514191,buy,1652.6190322580646,0.0523799999999999
3545,1619199614536996,buy,1652.6190322580646,1.54116
3546,1619199614537331,buy,1652.701612903226,7.25976
3547,1619199614541230,buy,1652.701612903226,2.41434
3548,1619199614541230,buy,1652.701612903226,2.97648
3549,1619199614543252,buy,1652.701612903226,2.31822
3550,1619199614590568,sell,1652.7012903225807,0.108
3551,1619199614679625,sell,1652.7012903225807,1.35972
3552,1619199614709685,buy,1652.6603225806452,0.0378
3553,1619199614709687,buy,1652.7012903225807,0.77166
3554,1619199614752381,buy,1652.7012903225807,0.02322
3555,1619199614817296,sell,1652.7009677419355,0.73278
3556,1619199614849567,sell,1652.7009677419355,0.27
3557,1619199614869730,sell,1652.7009677419355,0.0766799999999999
3558,1619199614889430,buy,1652.7012903225807,0.0151199999999999
3559,1619199615124254,buy,1652.7012903225807,0.01674
3560,1619199615136495,buy,1652.7012903225807,0.05724
3561,1619199615138581,buy,1652.7012903225807,0.05724
3562,1619199615141089,buy,1652.7012903225807,0.01674
3563,1619199615141090,buy,1652.7012903225807,0.05724
3564,1619199615151566,buy,1652.7012903225807,0.01674
3565,1619199615153031,buy,1652.7012903225807,0.0458999999999999
3566,1619199615170597,buy,1652.7012903225807,0.02268
3567,1619199615171454,buy,1652.7012903225807,0.01674
3568,1619199615185081,buy,1652.7012903225807,0.01674
3569,1619199615188653,buy,1652.7012903225807,0.01674
3570,1619199615188956,buy,1652.7012903225807,0.01674
3571,1619199615189677,buy,1652.7012903225807,0.01674
3572,1619199615190584,buy,1652.7012903225807,0.03402
